HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24	
2351.764	2325.194	2269.001	2273.126	2243.84	2339.301	2419.088	2414.122	2481.688	2543.962	2582.762	2621.063	2642.857	2657.497	2673.239	2666.378	2789.341	2968.643	2943.746	2960.829	2916.155	2869.052	2767.395	2659.245	
2602.753	2505.252	2487.037	2415.366	2479.864	2525.839	2672.278	2759.162	2853.12	2872.909	2842.171	2763.113	2736.8	2630.613	2589.485	2599.137	2645.67	2886.393	2929.975	2920.058	2922.512	2851.838	2815.709	2668.018	
2597.433	2535.045	2494.726	2498.458	2532.897	2589.827	2689.528	2744.917	2777.358	2760.256	2692.841	2614.171	2597.675	2557.472	2550.841	2561.902	2634.867	2894.227	3040.126	3049.781	3037.506	2915.192	2789.715	2679.249	
2515.499	2464.203	2443.407	2486.085	2616.415	2899.893	3277.774	3535.756	3537.609	3554.067	3432.615	3369.265	3334.294	3307.401	3323.169	3432.623	3568.196	3833.158	3904.739	3806.296	3709.368	3582.986	3414.123	3262.108	
3149.637	3182.149	3196.629	3234.47	3374.698	3663.502	4048.05	4266.064	4229.807	4079.68	3910.357	3806.781	3679.827	3623.273	3527.356	3548.487	3646.537	3919.6	3935.176	3894.318	3810.086	3669.724	3480.542	3283.646	
3196.859	3180.105	3158.069	3230.734	3344.323	3638.817	4039.4	4218.454	4155.365	3926.472	3679.893	3578.733	3458.33	3397.238	3337.216	3356.791	3452.201	3724.385	3703.713	3709.629	3539.645	3404.008	3222.3	3005.24	
2841.039	2777.053	2728.213	2721.597	2780.536	3005.653	3350.062	3574.702	3524.142	3506.814	3457.341	3403.256	3368.822	3331.211	3307.839	3288.7	3358.395	3519.548	3503.69	3378.624	3225.426	3148.823	2876.807	2708.121	
2587.394	2474.39	2433.73	2454.984	2494.068	2751.777	3139.989	3364.568	3386.9	3371.9	3381.642	3306.346	3297.375	3293.729	3248.862	3277.626	3342.755	3440.544	3342.561	3209.41	3063.309	2941.473	2770.579	2631.523	
2480.997	2417.749	2366.061	2315.821	2357.237	2396.945	2510.203	2613.612	2771.523	2882.353	2916.502	2895.45	2882.797	2837.077	2802.588	2745.019	2773.59	2926.012	2902.212	2888.524	2817.97	2727.755	2599.294	2487.705	
2401.176	2279.333	2186.074	2201.56	2136.032	2179.626	2213.784	2286.178	2382.499	2455.884	2476.586	2531.805	2519.341	2514.622	2539.991	2562.044	2615.108	2824.161	2983.493	2966.743	2992.041	2907.833	2783.198	2646.678	
2530.408	2524.793	2517.792	2591.326	2793.684	3080.715	3512.365	3772.433	3763.468	3585.737	3497.949	3425.585	3417.911	3325.462	3303.877	3293.039	3436.377	3708.83	3727.304	3676.21	3608.172	3438.849	3219.694	3056.418	
2918.165	2827.75	2847.101	2820.608	2970.755	3188.42	3614.266	3809.845	3765.518	3718.97	3677.451	3631.699	3599.201	3573.341	3443.427	3403.523	3503.27	3696.091	3670.072	3617.121	3581.951	3468.135	3311.359	3207.478	
3061.844	3046.594	3040.991	3123.937	3231.656	3571.303	4000.202	4213.896	4164.002	4030.356	3942.214	3847.289	3760.357	3713.989	3736.608	3791.346	3898.867	4112.501	4098.118	4005.574	3902.189	3734.226	3498.227	3335.174	
3106.323	3058.646	2973.516	3012.379	3100.365	3369.036	3768.446	3981.298	3932.847	3747.97	3591.95	3461.546	3371.341	3295.298	3164.575	3174.774	3230.75	3397.746	3423.591	3307.954	3274.077	3107.193	2921.955	2735.983	
2598.452	2508.703	2494.42	2505.642	2614.976	2898.21	3262.534	3471	3406.275	3331.759	3240.026	3146.734	3179.344	3130.596	3167.405	3154.881	3268.689	3355.932	3287.889	3160.371	3039.889	2905.169	2748.211	2609.354	
2513.329	2408.085	2366.799	2311.072	2345.952	2351.193	2492.181	2614.275	2745.458	2825.292	2840.766	2767.657	2762.372	2684.81	2705.936	2714.544	2721.181	2920.889	3029.842	2972.725	2981.063	2896.65	2803.83	2694.933	
2604.234	2512.401	2511.548	2467.523	2511.382	2502.184	2643.748	2693.74	2816.581	2911.352	3023.03	3066.092	3110.656	3125.505	3101.858	3089.615	3122.108	3307.775	3304.919	3282.472	3241.668	3192.889	3036.639	2959.356	
2801.247	2772.72	2809.398	2895.309	3114.673	3334.635	3587.424	3765.245	3855.142	3879.753	3836.756	3821.114	3783.675	3744.19	3720.306	3769.892	3910.681	4221.642	4278.276	4307.595	4237.196	4159.302	3942.492	3794.884	
3665.621	3641.674	3621.084	3684.585	3751.585	4023.491	4427.216	4628.484	4549.918	4427.852	4324.61	4195.834	4156.078	4054.086	3992.269	3999.95	4128.059	4363.366	4415	4385.411	4277.531	4092.89	3898.55	3707.777	
3570.241	3502.751	3476.414	3518.591	3612.58	3844.039	4263.333	4385.438	4361.825	4294.297	4123.381	3971.557	3878.848	3856.369	3889.246	3917.524	3967.856	4116.532	4169.709	4094.485	3954.358	3827.265	3622.29	3385.534	
3248.5	3208.265	3156.056	3221.872	3351.282	3620.177	3949.034	4145.172	4127.184	4089.618	3979.353	3822.213	3659.815	3673.043	3671.398	3675.302	3716.395	3956.357	3994.225	4005.656	3860.036	3744.646	3561.291	3377.28	
3284.874	3212.383	3208.601	3271.125	3387.093	3629.279	3922.835	4038.472	4121.752	4102.725	4071.729	4033.139	4014.486	4017.843	4066.177	4144.676	4142.956	4286.316	4240.778	4159.148	4022.94	3924.965	3824.761	3624.037	
3542.521	3419.186	3394.497	3432.917	3415.589	3456.638	3529.958	3608.465	3689.076	3839.031	3885.607	3907.035	3900.298	3859.067	3904.956	3932.42	3945.286	4089.761	4104.446	4047.709	3905.804	3784.813	3605.288	3468.07	
3303.666	3269.952	3178.672	3257.557	3327.669	3386.073	3472.645	3514.593	3572.68	3553.37	3460.044	3442.312	3343.437	3283.873	3279.203	3262.609	3357.345	3614.186	3761.78	3810.668	3710.763	3662.974	3486.633	3407.265	
3329.623	3291.368	3323.229	3371.795	3498.785	3669.208	3814.243	3853.531	3874.452	3768.14	3636.35	3568.871	3448.388	3381.381	3319.187	3291.135	3370.461	3659.35	3734.155	3656.135	3547.879	3413.111	3270.612	3086.71	
2966.197	2922.019	2882.217	2936.047	3003.31	3187.637	3354.416	3441.045	3499.695	3484.267	3392.084	3376.016	3285.046	3160.781	3227.926	3176.029	3179.396	3386.824	3402.174	3358.501	3220.878	3071.325	2911.514	2705.262	
2557.163	2505.287	2460.867	2541.862	2601.294	2866.448	3175.795	3321.473	3439.324	3472.125	3431.266	3367.862	3271.597	3245.011	3221.138	3168.526	3321.672	3488	3611.742	3566.379	3486.676	3427.191	3215.73	3061.021	
2940.313	2919.009	2936.443	2961.839	3130.383	3393.498	3701.667	3913.662	3905.583	3813.55	3635.262	3515.074	3389.454	3321.594	3323.875	3320.092	3377.14	3563.744	3605.108	3552.218	3426.853	3263.739	3104.146	2895.037	
2792.453	2725.271	2721.773	2784.826	2905.794	3157.964	3488.196	3654.411	3626.874	3561.42	3555.269	3448.282	3383.705	3418.579	3371.438	3411.926	3545.849	3713.653	3762.161	3695.218	3541.658	3433.426	3261.299	3105.253	
3061.457	2917.332	2907.671	2903.898	2944.047	3029.864	3207.771	3315.628	3379.384	3296.829	3220.927	3099.775	3006.879	2902.412	2840.928	2792.216	2861.05	3041.502	3160.867	3150.677	3105.883	3036.016	2911.959	2788.024	
2690.618	2633.069	2563.333	2561.288	2577.248	2636.339	2701.744	2766.336	2775.534	2807.812	2782.688	2671.145	2664.928	2591.597	2601.114	2564.171	2645.6	2786.096	2982.992	2961.352	2928.512	2796.702	2677.131	2495.139	
2343.846	2288.699	2250.661	2234.529	2368.166	2592.753	2977.466	3141.684	3123.384	3047.336	2981.642	3010.399	2955.043	2976.878	3042.099	3050.265	3105.471	3244.507	3267.63	3170.294	3057.53	2907.723	2740.341	2551.353	
2430.926	2365.894	2390.933	2372.98	2538.377	2794.046	3232.104	3426.077	3384.777	3214.518	3140.263	3044.974	3007.523	2985.482	2933.354	2927.895	3001.792	3172.629	3237.311	3201.853	3104.975	2968.954	2745.438	2598.715	
2374.925	2348.582	2290.206	2327.261	2390.03	2663.703	3009.705	3250.785	3276.05	3258.163	3234.158	3215.585	3171.909	3249.839	3212.145	3163.36	3227.111	3309.285	3242.685	3131.69	3018.886	2850.074	2653.16	2415.181	
2294.611	2183.674	2112.627	2152.815	2162.513	2436.266	2823.115	3011.262	3098.849	3088.412	3087.977	3099.974	3088.243	3055.137	3039.454	3061.912	3099.756	3244.537	3201.666	3192.141	3061.988	2953.752	2761.81	2619.783	
2459.846	2416.131	2437.131	2430.26	2522.883	2784.047	3193.394	3420.386	3508.39	3467.581	3430.203	3294.879	3218.829	3151.793	3128.799	3113.276	3197.109	3378.613	3463.565	3401.145	3261.847	3177.634	3029.9	2921.315	
2781.747	2721.676	2712.534	2714.764	2755.8	2832.759	2972.959	3129.283	3210.138	3166.36	3076.916	3030.994	2938.012	2839.611	2826.918	2762.11	2787.505	2975.535	3118.07	3093.54	3099.278	3003	2962.056	2813.026	
2744.804	2708.045	2633.662	2653.052	2687.283	2781.809	2884.659	2948.356	3080.555	3092.705	3060.347	2989.544	2922.084	2923.675	2900.884	2887.517	2931.414	3134.03	3193.889	3122.157	3051.21	3000.557	2896.253	2781.916	
2619.498	2549.092	2558.167	2606.998	2700.316	2990.812	3396.645	3587.058	3512.43	3367.085	3264.756	3166.118	3094.772	3072.463	3069.795	3125.561	3208.003	3337.33	3393.637	3308.121	3206.867	3078.3	2898.036	2750.457	
2579.014	2518.992	2492.611	2494.01	2680.328	2875.972	3284.441	3522.699	3540.213	3606.424	3554.507	3517.712	3478.637	3401.508	3386.948	3381.014	3431.591	3576.918	3665.656	3622.654	3509.41	3351.701	3179.869	2983.028	
2836.293	2802.58	2826.193	2836.525	2963.439	3192.579	3649.071	3818.142	3816.915	3747.641	3604.97	3436.826	3427.1	3387.809	3354.11	3365.255	3525.117	3723.082	3926.523	3863.922	3756.42	3644.815	3446.096	3263.985	
3172.963	3153.557	3142	3230.548	3362.403	3643.34	4042.848	4233.881	4195.853	4056.841	4063.201	3925.727	3880.018	3826.808	3783.738	3805.473	3859.379	4082.794	4233.369	4218.941	4107.337	4003.103	3812.126	3600.973	
3461.141	3434.659	3387.775	3472.574	3534.175	3803.171	4175.835	4332.533	4268.783	4149.697	4061.071	3892.952	3794.583	3758.422	3712.636	3831.817	3891.316	4026.26	4023.355	3916.451	3849.287	3681.178	3531.846	3383.385	
3244.02	3214.448	3206.774	3237.1	3288.184	3487.514	3550.245	3710.864	3863.203	3991.57	3967.3	3947.602	3919.424	3893.294	3849.285	3909.543	3919.508	4162.319	4313.093	4392.316	4305.41	4345.988	4102.76	4059.923	
3942.037	3883.422	3857.605	3828.414	3859.3	3921.647	4027.224	4079.298	4070.527	4032.444	3919.503	3861.753	3796.531	3660.592	3596.816	3573.844	3704.13	3917.531	4102.584	4059.323	4056.578	3991.409	3793.656	3684.435	
3593.834	3571.249	3559.562	3573.139	3682.6	3777.495	3965.947	3992.029	4055.202	4167.761	4181.239	4142.521	4135.404	4151.876	4086.125	4058.851	4089.42	4179.391	4165.125	4119.715	3948.641	3747.895	3505.664	3309.406	
3183.184	3102.929	3053.219	3121.477	3160.929	3361.822	3547.842	3619.589	3689.825	3680.298	3687.639	3694.941	3614.542	3510.972	3350.981	3301.66	3318.945	3408.104	3578.958	3493.432	3413.912	3268.346	3093.415	2858.459	
2745.811	2679.905	2644.91	2757.647	2842.164	3139.709	3568.927	3694.364	3688.769	3594.353	3550.401	3380.476	3314.456	3259.069	3258.35	3263.077	3291.722	3479.435	3552.145	3584.936	3481.436	3346.991	3117.633	2995.463	
2857.324	2750.497	2739.126	2803.425	2847.121	3201.733	3623.354	3799.831	3758.765	3659.658	3544.575	3514.196	3435.155	3408.95	3314.967	3331.04	3402.141	3563.352	3725.712	3742.982	3660.528	3567.435	3402.516	3217.812	
3077.903	3057.458	3039.509	3117.414	3209.312	3507.509	3946.27	4084.135	3981.842	3909.077	3858.054	3805.751	3681.133	3543.61	3521.537	3489.636	3557.098	3644.842	3758.947	3613.302	3478.337	3289.879	3150.76	2921.962	
2811.983	2705.787	2625.073	2621.831	2588.858	2640.787	2736.974	2790.231	2960.552	2999.517	2998.672	2889.722	2857.782	2702.172	2659.747	2633.272	2604.39	2645.573	2854.602	2830.928	2846.248	2708.479	2633.369	2534.984	
2389.929	2342.979	2230.761	2293.661	2273.837	2313.519	2400.594	2440.813	2589.217	2665.326	2707.046	2770.405	2717.438	2743.611	2729.659	2717.054	2786.236	2875.146	2974.922	2981.804	2904.223	2805.922	2671.925	2499.453	
2363.657	2279.154	2270.404	2329.445	2440.074	2734.558	3144.92	3365.209	3376.507	3312.401	3160.209	3145.002	3069.353	3002.146	3020.571	3018.071	3036.695	3133.945	3258.534	3282.541	3147.059	3025.992	2833.924	2626.489	
2495.732	2405.794	2376.532	2398.545	2519.249	2738.787	3172.607	3378.352	3444.133	3464.796	3469.394	3383.394	3371.57	3337.623	3385.183	3400.872	3429.226	3542.855	3551.987	3448.963	3318.118	3170.538	2949.844	2746.538	
2572.866	2507.572	2474.069	2472.99	2560.616	2807.461	3238.407	3404.413	3456.827	3390.61	3314.131	3390.43	3287.805	3258.906	3203.26	3221.739	3271.521	3269.869	3201.325	3126.996	2976.926	2853.037	2631.498	2442.472	
2269.616	2232.937	2230.519	2221.44	2316.183	2561.517	2940.275	3196.624	3205.946	3223.271	3202.596	3250.825	3251.473	3245.865	3246.054	3272.556	3334.118	3351.763	3465.204	3430.679	3304.244	3197.112	2985.797	2859.627	
2675.999	2608.23	2652.617	2680.367	2825.756	3031.155	3441.707	3625.119	3607.953	3599.753	3481.43	3418.219	3397.459	3332.869	3261.749	3323.832	3379.413	3501.363	3629.615	3551.754	3457.885	3349.141	3191.876	3063.023	
2924.937	2870.735	2867.256	2840.1	2904.632	2969.619	3095.968	3190.831	3280.717	3225.493	3144.548	3040.661	2956.096	2904.769	2792.209	2752.972	2769.657	2864.692	3070.963	3139.685	3088.671	3063.823	2963.184	2827.624	
2766.663	2692.856	2654.491	2671.277	2662.67	2745.25	2740.644	2812.828	2818.438	2752.698	2749.762	2659.91	2617.478	2578.485	2531.936	2537.871	2530.446	2646.545	2828.059	2893.504	2812.803	2724.568	2602.23	2419.605	
2253.283	2168.356	2168.522	2176.886	2281.476	2525.323	2858.869	3077.249	3094.163	3061.129	3032.868	2967.584	2945.118	2913.31	2874.68	2848.988	2912.555	2925.892	3063.033	3053.795	2928.343	2813.499	2642.134	2435.181	
2309.096	2261.204	2265.789	2256.208	2387.912	2664.739	3059.835	3204.824	3127.045	2993.241	2932.164	2900.895	2872.607	2858.07	2881.073	2873.757	2860.636	2928.229	3018.838	2991.453	2884.065	2754.744	2535.338	2367.86	
2182.036	2093.625	2083.018	2057.843	2162.741	2448.055	2845.31	3160.833	3132.37	3160.169	3186.413	3171.333	3159.088	3163.897	3104.731	3161.359	3170.23	3344.511	3515.803	3541.338	3467.283	3358.354	3103.043	2922.577	
2756.607	2693.664	2671.41	2717.012	2834.102	3131.209	3539.569	3677.751	3553.958	3477.742	3416.373	3253.286	3238.163	3171.779	3163.352	3294.036	3336.202	3431.481	3539.17	3474.565	3396.06	3253.647	3055.542	2854.338	
2762.367	2688.429	2660.122	2695.276	2794.887	3058.541	3451.695	3623.201	3649.368	3673.454	3586.988	3452.85	3357.774	3371.49	3359.984	3350.581	3430.565	3472.391	3519.266	3379.631	3282.085	3134.446	2931.71	2840.337	
2652.115	2624.014	2580.471	2565.755	2541.327	2657.624	2775.118	2872.421	3066.203	3113.334	3092.531	3012.526	2942.369	2846.238	2828.903	2785.342	2799.14	2899.821	3026.185	3082.322	3037.072	2991.492	2843.492	2743.82	
2615.06	2558.197	2491.417	2527.191	2493.798	2567.356	2627.361	2661.653	2705.796	2762.877	2749.542	2725.7	2713.634	2724.806	2678.931	2631.534	2650.136	2719.728	2924.177	3041.478	3005.366	2988.844	2797.33	2659.978	
2530.21	2514.041	2501.224	2579.855	2672.407	2936.651	3315.72	3451.002	3299.126	3181.573	3072.838	2975.39	2959.287	2896.823	2899.197	2883.647	2872.011	2893.118	3018.393	3011.589	2880.278	2715.631	2554.203	2300.97	
2225.507	2125.51	2082.372	2070.277	2186.037	2423.529	2750.588	2896.905	2934.389	2968.47	2857.379	2865.874	2884.327	2881.683	2887.553	2877.345	2909.04	2906.391	2946.578	2917.203	2778.837	2653.008	2415.8	2221.238	
2117.099	2025.854	1969.462	1987.366	2038.374	2206.354	2491.056	2824.613	2850.424	2853.074	2876.694	2874.652	2920.484	2960.389	2980.868	2984.758	2983.721	2928.917	2920.52	2972.873	2850.56	2729.122	2490.612	2224.282	
2078.11	2029.894	1966.332	1947.214	2049.706	2216.084	2535.879	2768.603	2874.904	2885.464	2988.58	2999.98	3005.852	3032.067	3059.592	3075.434	3057.044	3017.791	3033.747	3029.459	2854.242	2765.815	2511.65	2349.035	
2147.857	2073.423	2020.581	2010.19	2075.313	2241.938	2569.067	2738.776	2838.542	2911.028	2861.459	2911.343	2943.486	2922.555	2902.764	2940.909	2966.106	2931.978	2893.368	2846.913	2673.017	2527.8	2362.805	2241.692	
2107.543	2006.037	1989.453	1930.643	1964.548	2005.77	2088.849	2225.562	2395.482	2540.851	2577.97	2620.657	2635.487	2584.962	2541.415	2473.769	2461.522	2462.426	2618.681	2640.291	2577.455	2494.717	2383.373	2264.774	
2149.527	2098.02		2051.264	2001.749	1977.864	2015.717	2089.775	2191.429	2291.798	2370.997	2503.452	2484.772	2522.808	2525.801	2483.748	2576.878	2566.127	2655.755	2734.618	2790.598	2697.558	2539.76	2311.148	
2198.386	2117.202	2074.746	2058.898	2147.633	2388.248	2731.519	3006.075	3048.793	3065.375	3073.02	3093.2	3033.24	3069.38	3000.72	3062.177	3028.033	3041.964	3020.097	3072.963	3003.786	2879.967	2640.715	2491.388	
2290.36	2219.751	2170.928	2202.653	2265.889	2464.388	2885.125	3124.381	3089.292	3117.722	3106.617	3032.011	3044.051	2965.918	2897.065	2895.787	2901.961	2888.259	2808.141	2865.203	2865.992	2749.551	2603.518	2363.868	
2226.172	2123.841	2077.888	2129.922	2170.776	2366.868	2718.645	2900.157	2911.765	2848.907	2875.496	2870.19	2878.033	2902.967	2918.635	2922.753	2863.457	2872.8	2744.792	2813.334	2815.122	2668.219	2444.6	2270.011	
2120.642	2023.372	2007.163	1993.549	2129.392	2289.644	2687.558	2941.424	2959.198	2898.515	2927.523	2918.848	2921.398	2879.741	2876.696	2869.125	2863.807	2849.19	2761.135	2801.78	2801.394	2689.96	2516.033	2312.933	
