DATE	COMP	HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24
1/1/2015	RTO	94001.713	91930.162	90377.4	89635.866	89868.592	91496.412	93609.348	94660.815	94392.692	93594.824	93036.897	92147.846	90712.417	88937.498	87565.822	87639.015	90579.359	98472.014	100418.16	99621.786	98105.53	95346.171	91231.542	86865.111
1/2/2015	RTO	83243.137	81049.86	79966.01	79815.776	81301.684	85141.618	90711.253	95487.214	97348.295	97671.42	97116.786	96170.811	94593.439	93186.356	92090.79	91900.491	94276.883	101121.289	102363.402	101126.861	99668.664	97212.168	93105.12	88464.039
1/3/2015	RTO	84414.743	81797.458	80285.537	79698.861	79928.156	81614.322	84138.532	87128.118	89799.483	92616.172	94899.032	95640.159	95306.27	94640.198	93652.078	93099.588	94727.685	98386.548	97974.223	95964.417	93495.774	90264.336	86137.152	81225.145
1/4/2015	RTO	76690.393	73582.143	71615.117	70618.149	70505.407	71600.645	73364.147	76031.807	78390.22	80803.025	82443.724	83439.901	84311.4	84567.564	84317.838	84796.53	87843.357	93682.058	95931.076	95028.284	94128.225	90877.213	86853.502	82809.675
1/5/2015	RTO	79943.591	78810.405	78897.734	79993.153	82975.214	89652.184	100128.213	106669.592	107140.173	106612.208	106112.209	105633.257	104812.226	104104.861	103709.082	104397.833	108250.217	116659.847	119814.638	119284.988	117704.994	113944.704	108021.284	102163.023
1/6/2015	RTO	98195.006	96105.833	95175.582	95196.248	97136.24	102615.978	111077.433	116542.839	116476.428	116025.82	115482.891	114466.3	113053.251	111748.639	110567.375	110015.233	112516.96	120195.4	122845.926	122385.254	120669.649	116842.809	111068.054	105658.629
1/7/2015	RTO	101571.227	99579.049	98804.273	99207.836	101334.549	106680.025	114921.591	120461.016	121091.611	120318.64	119992.856	119578.851	119189.425	119289.037	119289.726	120393.643	124240.137	131953.261	135424.306	135639.335	134762.932	131875.163	126615.623	121622.751
1/8/2015	RTO	118501.728	117118.558	116828.041	117144.101	119315.759	124059.938	131396.294	136197.118	135304.712	133079.878	130834.246	128427.32	126223.038	124292.575	123178.599	123214.274	125799.952	132509.125	134759.4	133640.228	131229.373	126824.037	120107.83	113727.752
1/9/2015	RTO	108949.12	106487.285	105073.877	104538.672	105717.503	109709.747	116897.876	121703.812	121408.788	120175.664	118112.572	115500.029	113330.312	111596.284	110254.685	109957.564	112331.855	119266.387	122166.512	121493.081	120294.116	117980.865	114018.016	109342.007
1/10/2015	RTO	106201.397	104570.227	104249.906	104681.7	106175.657	108962.581	113020.278	117233.83	119065.145	118509.565	116513.927	113772.633	110624.809	107314.767	105224.633	104922.937	108084.088	115499.546	119027.225	118967.721	118430.108	116573.538	112913.644	108868.095
1/11/2015	RTO	105354.195	103402.521	102366.251	102071.568	102390.367	103729.129	106065.218	108686.135	109168.663	107280.952	104270.821	101457.738	99304.128	97351.74	96044.883	96258.675	99665.104	106625.948	108700.726	107561.078	105704.197	101772.982	96767.105	91715.645
1/12/2015	RTO	88198.968	86205.525	85742.19	85963.109	88132.287	93149.024	101130.561	107629.538	109235.425	109643.325	109516.759	109352.351	108528.459	107717.12	106653.083	106491.562	108191.465	112613.493	113974.403	112515.026	110010.118	105613.144	100288.596	94790.439
1/13/2015	RTO	90740.564	88452.064	87905.783	88563.21	90994.154	96952.055	106848.879	113165.605	113271.099	112226.923	111242.382	109939.333	108666.876	107583.465	107177.415	107634.277	110467.239	117588.18	121214.035	120988.79	119514.216	115895.39	110057.804	104471.434
1/14/2015	RTO	100702.853	98717.158	98152.373	98658.576	100747.261	106283.93	114884.405	120549.313	120956.349	120279.655	119167.979	117850.806	116665.333	114617.984	113149.734	112676.012	114264.781	119266.117	121314.849	120171.008	118252.615	113960.709	107743.804	101669.008
1/15/2015	RTO	97651.135	95639.211	94614.634	94861.513	96902.308	102119.715	111013.14	116668.485	115935.785	113989.327	111582.21	109018.576	106641.019	104875.406	103386.023	103076.626	105101.281	111271.485	114736.548	114338.196	113000.148	109335.2	103530.07	97774.325
1/16/2015	RTO	94058.154	92038.214	91507.854	91662.25	93894.458	99341.88	107895.025	112991.706	111752.927	108980.101	106918.052	104846.807	102692.485	100979.897	99604.051	99021.199	100723.987	106404.722	109484.086	108651.847	107396.086	104783.381	101041.598	96542.245
1/17/2015	RTO	93001.229	91160.683	90606.495	90858.346	92070.921	94551.722	98520.199	102530.715	104517.151	103876.752	101601.28	98711.669	95243.522	92333.287	90257.282	89754.305	92132.112	98325.717	101907.044	101398.355	100107.681	97703.34	93907.06	89612.811
